1,陈凝冬,f,1980-5-31,2011-5-15,湖南省  张家界市,SAMSON19800531@yahoo.cn,12693283164
2,朱雨泽,m,1984-1-31,2009-3-15,吉林省  延边朝鲜族自治州,Donald19840131@tom.com,13137241572
3,米曼容,f,1983-9-30,2009-2-15,湖南省  常德市,Ella19830930@21cn.com,13137783943
4,臧志强,m,1972-9-30,2005-11-15,河南省  商丘市,Hayden19720930@126.com,13397104468
5,戎雨泽,m,1992-6-30,2011-3-15,四川省  阿坝藏族羌族自治州,Haley19920630@qq.com,13812271052
6,殷峻熙,m,1987-2-28,2008-5-15,青海省  海北藏族自治州,Yehudi19870228@126.com,13157757901
7,章夏波,f,1988-2-28,2012-8-15,陕西省  铜川市,Frieda19880228@yahoo.cn,15893564646
8,厙亦丝,f,1989-8-31,2010-5-15,新疆维吾尔自治区  库尔勒市,SELMA19890831@yahoo.cn,13332114540
9,宦静珊,f,1975-10-31,2006-4-15,内蒙古自治区  乌海市,Jessica19751031@sohu.com,13333556584
10,赖水云,f,1992-11-30,2012-5-15,广东省  揭阳市,GLORIA19921130@yahoo.cn,12638461597
11,陈沛凝,f,1977-1-31,2008-12-15,河南省  三门峡市,Silverdew19770131@sohu.com,13868852102
12,勾天磊,m,1976-1-31,2010-1-15,江西省  宜春市,Shane19760131@yahoo.com.cn,13995442358
13,范安卉,f,1991-9-30,2010-2-15,台湾省  台南县,Dolores19910930@hotmail.com,13154297472
14,尤哲瀚,m,1983-2-28,2007-7-15,广西壮族自治区  贵港市,Theobald19830228@sina.com,15845250543
15,单于荣轩,m,1982-7-31,2011-2-15,宁夏回族自治区  石嘴山市,Ed19820731@tom.com,13320038819
16,步巧曼,f,1992-5-31,2012-4-15,海南省  陵水黎族自治县,Jacqueline19920531@21cn.com,13876074033
17,滑楷瑞,m,1985-10-31,2011-9-15,甘肃省  天水市,Devin19851031@yahoo.com.cn,15880993056
18,鞠文博,m,1983-12-31,2006-6-15,湖南省  湘西土家族苗族自治州,Aries19831231@hotmail.com,13950523614
19,黎雪晴,f,1982-3-31,2011-12-15,河南省  信阳市,Carina19820331@sohu.com,15854010939
20,贡雨莲,f,1981-8-31,2012-12-15,新疆维吾尔自治区  阜康市,Ivy19810831@126.com,15863018943
21,郏泽洋,m,1975-9-30,2006-11-15,新疆维吾尔自治区  哈密市,Merle19750930@yahoo.com.cn,15908696921
22,敖乐松,f,1980-1-31,2011-1-15,辽宁省  铁岭市,STACY19800131@hotmail.com,13940625562
23,卞煜祺,m,1985-3-31,2005-12-15,广东省  潮州市,Griffith19850331@gmail.com,12647864706
